1,A28102
2,AB000114
3,AB000115
4,AB000220
5,AB000381
6,AB000409
7,AB000410
8,AB000449
9,AB000450
10,AB000460
11,AB000462
12,AB000464
13,AB000466
14,AB000467
15,AB000468
16,AB000584
17,AB000816
18,AB000895
19,AB000896
20,AB000897
21,AB000905
22,AB001106
23,AB001325
24,AB002314
25,AB002315
26,AB002318
27,AB002332
28,AB002356
29,AB002365
30,AB002366
31,AB002380
32,AB002382
33,AB002409
34,AB002533
35,AB002559
36,AB003102
37,AB003103
38,AB003177
39,AB003698
40,AB004884
41,AB005535
42,AB006190
43,AB006781
44,AB006782
45,AC000061
46,AC000061
47,AC000062
48,AC000063
49,AC000064
50,AC000064
51,AC000066
52,AC000099
53,AC000115
54,AC002045
55,AC002045
56,AC002073
57,AC002076
58,AC002077
59,AC002086
60,AC002115
61,AC002115
62,AC002115
63,AC002115
64,AC002450
65,AC002464
66,AC002477
67,AC002486
68,AD000092
69,AD000092
70,AD000092
71,AD000684
72,AD001527
73,AF000177
74,AF000231
75,AF000234
76,AF000424
77,AF000430
78,AF000545
79,AF000560
80,AF000562
81,AF000573
82,AF000959
83,AF001294
84,AF001359
85,AF001548
86,AF001620
87,AF001787
88,AF002020
89,AF002224
90,AF002700
91,AF003743
92,AF005037
93,AF005043
94,AF005361
95,AF005775
96,AF005887
97,AF006041
98,AF006084
99,AF006087
100,AF006609
101,AF007111
102,AF007551
103,AF007875
104,AF008445
105,AF008937
106,AF009301
107,AF009368
108,AF009426
109,AF009674
110,AF010193
111,AF012024
112,AF012270
113,AF014958
114,AF015910
115,AF015913
116,AF015950
117,AFFX-BioB-3
118,AFFX-BioB-3
119,AFFX-BioB-5
120,AFFX-BioB-5
121,AFFX-BioB-M
122,AFFX-BioB-M
123,AFFX-BioC-3
124,AFFX-BioC-3
125,AFFX-BioC-5
126,AFFX-BioC-5
127,AFFX-BioDn-3
128,AFFX-BioDn-3
129,AFFX-BioDn-5
130,AFFX-BioDn-5
131,AFFX-CreX-3
132,AFFX-CreX-3
133,AFFX-CreX-5
134,AFFX-CreX-5
135,AFFX-DapX-3
136,AFFX-DapX-5
137,AFFX-DapX-M
138,AFFX-HSAC07/X00351
139,AFFX-HSAC07/X00351
140,AFFX-HSAC07/X00351
141,AFFX-HSAC07/X00351
142,AFFX-HSAC07/X00351
143,AFFX-HSAC07/X00351
144,AFFX-HUMGAPDH/M33197
145,AFFX-HUMGAPDH/M33197
146,AFFX-HUMGAPDH/M33197
147,AFFX-HUMGAPDH/M33197
148,AFFX-HUMGAPDH/M33197
149,AFFX-HUMGAPDH/M33197
150,AFFX-HUMISGF3A/M97935
151,AFFX-HUMISGF3A/M97935
152,AFFX-HUMISGF3A/M97935
153,AFFX-HUMISGF3A/M97935
154,AFFX-HUMRGE/M10098
155,AFFX-HUMRGE/M10098
156,AFFX-HUMRGE/M10098
157,AFFX-HUMTFRR/M11507
158,AFFX-HUMTFRR/M11507
159,AFFX-HUMTFRR/M11507
160,AFFX-LysX-3
161,AFFX-LysX-5
162,AFFX-LysX-M
163,AFFX-M27830
164,AFFX-M27830
165,AFFX-M27830
166,AFFX-PheX-3
167,AFFX-PheX-5
168,AFFX-PheX-M
169,AFFX-ThrX-3
170,AFFX-ThrX-5
171,AFFX-ThrX-M
172,AFFX-TrpnX-3
173,AFFX-TrpnX-5
174,AFFX-TrpnX-M
175,AJ000099
176,AJ000480
177,AJ001047
