V38	1
V38	0.816
V17	0.816
V38	0.772
V17	0.665
V76	0.814
V38	0.767
V17	0.663
V76	0.496
V28	0.542
V38	0.767
V17	0.638
V76	0.495
V28	0.531
V72	0.896
V38	0.715
V17	0.638
V76	0.396
V28	0.531
V72	0.839
V23	0.578
V38	0.685
V17	0.629
V76	0.363
V28	0.501
V72	0.816
V23	0.562
V75	0.49
V38	0.667
V17	0.616
V76	0.33
V28	0.5
V72	0.816
V23	0.549
V75	0.373
V78	0.317
V38	0.619
V17	0.603
V76	0.315
V28	0.427
V72	0.792
V23	0.544
V75	0.372
V78	0.298
V87	0.425
V38	0.592
V17	0.602
V76	0.315
V28	0.425
V72	0.792
V23	0.51
V75	0.326
V78	0.295
V87	0.31
V40	0.272
V38	0.606
V17	0.604
V76	0.348
V28	0.425
V72	0.835
V75	0.326
V78	0.301
V87	0.324
V40	0.29
V38	0.576
V17	0.562
V76	0.347
V28	0.41
V72	0.83
V75	0.325
V78	0.252
V87	0.313
V40	0.274
V71	0.293
V38	0.571
V17	0.545
V76	0.345
V28	0.407
V72	0.822
V75	0.258
V78	0.237
V87	0.3
V40	0.268
V71	0.279
V46	0.532
V38	0.53
V17	0.544
V76	0.326
V28	0.406
V72	0.818
V75	0.257
V78	0.231
V87	0.29
V40	0.261
V71	0.25
V46	0.517
V14	0.437
V38	0.526
V17	0.526
V76	0.326
V28	0.406
V72	0.805
V75	0.246
V78	0.22
V87	0.288
V40	0.258
V71	0.244
V46	0.51
V14	0.404
V57	0.814
V38	0.526
V17	0.473
V76	0.311
V28	0.39
V72	0.793
V75	0.244
V78	0.22
V87	0.281
V40	0.252
V71	0.203
V46	0.507
V14	0.352
V57	0.749
V15	0.22
V38	0.492
V17	0.473
V76	0.31
V28	0.39
V72	0.792
V75	0.238
V78	0.22
V87	0.281
V40	0.252
V71	0.202
V46	0.507
V14	0.285
V57	0.665
V15	0.212
V45	0.506
V38	0.491
V17	0.472
V76	0.309
V28	0.39
V72	0.772
V75	0.238
V78	0.219
V87	0.276
V40	0.251
V71	0.197
V46	0.495
V14	0.267
V57	0.663
V15	0.2
V45	0.503
V6	0.786
V38	0.497
V17	0.472
V76	0.309
V28	0.394
V72	0.781
V75	0.238
V78	0.27
V87	0.287
V40	0.262
V46	0.528
V14	0.268
V57	0.664
V15	0.247
V45	0.506
V6	0.808
V38	0.489
V17	0.472
V76	0.308
V28	0.381
V72	0.688
V75	0.219
V78	0.26
V87	0.274
V40	0.258
V46	0.52
V14	0.264
V57	0.657
V15	0.242
V45	0.481
V6	0.609
V84	0.407
V38	0.491
V17	0.479
V76	0.312
V28	0.382
V75	0.233
V78	0.262
V87	0.287
V40	0.259
V46	0.52
V14	0.264
V57	0.658
V15	0.244
V45	0.485
V6	0.61
V84	0.462
V38	0.489
V17	0.464
V76	0.312
V28	0.379
V75	0.231
V78	0.223
V87	0.266
V40	0.242
V46	0.486
V14	0.231
V57	0.631
V15	0.175
V45	0.485
V6	0.566
V84	0.405
V4	0.189
V38	0.489
V17	0.462
V76	0.287
V28	0.375
V75	0.231
V78	0.221
V87	0.255
V40	0.242
V46	0.485
V14	0.202
V57	0.616
V15	0.17
V45	0.477
V6	0.506
V84	0.404
V4	0.15
V20	0.238
V38	0.489
V17	0.549
V76	0.297
V28	0.41
V75	0.233
V78	0.222
V87	0.263
V40	0.244
V46	0.489
V14	0.206
V57	0.648
V45	0.492
V6	0.506
V84	0.408
V4	0.212
V20	0.246
V38	0.489
V17	0.542
V76	0.292
V28	0.406
V75	0.226
V78	0.217
V87	0.242
V40	0.217
V46	0.466
V14	0.196
V57	0.634
V45	0.49
V6	0.5
